pyramid_group,subitem,sex,age_band,g_per_capita_per_day,source_note
Grain products & potatoes,High-fibre bread/baked goods,male,2-5,43.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,male,2-5,163.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",male,2-5,76.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,male,2-5,87.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),male,2-5,367.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,male,2-5,7.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,male,2-5,10.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,male,2-5,12.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),male,2-5,175.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),male,2-5,203.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",male,2-5,1.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,male,2-5,20.597014925373134,split from RTU011 combined meat figure (60.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,male,2-5,39.40298507462686,split from RTU011 combined meat figure (60.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,male,2-5,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,male,6-9,49.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,male,6-9,169.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",male,6-9,95.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,male,6-9,95.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),male,6-9,471.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,male,6-9,13.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,male,6-9,17.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,male,6-9,13.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),male,6-9,217.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),male,6-9,233.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
