pyramid_group,subitem,baseline_g_per_day,min_g_per_day,max_g_per_day,baseline_demand_tonnes,min_demand_tonnes,max_demand_tonnes,baseline_self_sufficiency_pct,min_self_sufficiency_pct,max_self_sufficiency_pct,max_abs_change_g_per_day,max_relative_change_pct,min_variant,max_variant,crosses_50pct,crosses_100pct,method_note
"Vegetables, fruits & berries",Vegetables,294.811,294.811,294.811,144169.0,144169.0,144169.0,21.2,21.2,21.2,0.0,0.0,baseline,baseline,False,False,Scenario C.2 demand is ratio-scaled from the checked-in baseline; conversion variants recompute the 2025 crosswalk.
"Vegetables, fruits & berries",Legumes,196.939,196.939,196.939,96307.2,96307.2,96307.2,,,,0.0,0.0,baseline,baseline,,,Scenario C.2 demand is ratio-scaled from the checked-in baseline; conversion variants recompute the 2025 crosswalk.
"Vegetables, fruits & berries",Fruits+Berries (combined),269.985,40.498,269.985,132028.4,19804.3,132028.4,6.3,6.3,42.0,229.5,85.0,dried_fruit_low,baseline,False,False,Scenario C.2 demand is ratio-scaled from the checked-in baseline; conversion variants recompute the 2025 crosswalk.
Grain products & potatoes,High-fibre bread/baked goods,140.868,0.000,250.900,68887.7,0.0,122695.4,173.9,97.6,,140.9,100.0,all_grain_to_porridge,all_grain_to_bread,False,True,Scenario C.2 demand is ratio-scaled from the checked-in baseline; conversion variants recompute the 2025 crosswalk.
Grain products & potatoes,Porridges/pasta/rice/grain products,280.080,0.000,638.654,136965.0,0.0,312315.5,,,,358.6,128.0,all_grain_to_bread,all_grain_to_porridge,,,Scenario C.2 demand is ratio-scaled from the checked-in baseline; conversion variants recompute the 2025 crosswalk.
Grain products & potatoes,"Potato, sweet potato",62.065,37.239,62.065,30351.4,18210.8,30351.4,105.4,105.4,175.7,24.8,40.0,sweet_potato,baseline,False,False,Scenario C.2 demand is ratio-scaled from the checked-in baseline; conversion variants recompute the 2025 crosswalk.
Dairy products,(total),223.965,67.496,417.249,109523.6,33007.1,204044.0,219.7,117.9,729.0,193.3,86.3,cheese,milk_high,False,False,Scenario C.2 demand is ratio-scaled from the checked-in baseline; conversion variants recompute the 2025 crosswalk.
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",45.164,42.670,76.806,22086.1,20866.6,37559.8,0.0,0.0,0.0,31.6,70.1,nuts,cocoa,False,False,Scenario C.2 demand is ratio-scaled from the checked-in baseline; conversion variants recompute the 2025 crosswalk.
"Nuts, seeds, oils & fats","Oils/fats/spreads (rapeseed, representative)",42.360,42.360,338.878,20714.8,20714.8,165718.4,29.5,3.7,29.5,296.5,700.0,baseline,olives_high,False,False,Scenario C.2 demand is ratio-scaled from the checked-in baseline; conversion variants recompute the 2025 crosswalk.
"Fish, eggs & meat",Fish & seafood,15.638,7.273,23.275,7647.1,3556.8,11381.7,451.0,303.0,969.6,8.4,53.5,very_fatty_fish_low,lean_fish_high,False,False,Scenario C.2 demand is ratio-scaled from the checked-in baseline; conversion variants recompute the 2025 crosswalk.
"Fish, eggs & meat",Eggs,13.965,13.965,13.965,6829.1,6829.1,6829.1,79.0,79.0,79.0,0.0,0.0,baseline,baseline,False,False,Scenario C.2 demand is ratio-scaled from the checked-in baseline; conversion variants recompute the 2025 crosswalk.
"Fish, eggs & meat",Poultry,27.580,12.219,38.403,13487.4,5975.4,18779.9,77.4,55.6,174.7,15.4,55.7,skin_on_goose_duck,skinless_chicken,False,True,Scenario C.2 demand is ratio-scaled from the checked-in baseline; conversion variants recompute the 2025 crosswalk.
"Fish, eggs & meat",Red meat,19.638,18.329,20.947,9603.4,8963.2,10243.6,281.3,263.7,301.4,1.3,6.7,fresh_meat_low,fresh_meat_high,False,False,Scenario C.2 demand is ratio-scaled from the checked-in baseline; conversion variants recompute the 2025 crosswalk.
"Sweets, snacks & discretionary",(total),33.725,21.413,53.531,16492.2,10471.2,26178.1,,,,19.8,58.7,chocolate_candy,jam,,,Scenario C.2 demand is ratio-scaled from the checked-in baseline; conversion variants recompute the 2025 crosswalk.
