age_band,sex,pal,kcal_per_day,method_note
2-5,male,sedentary,1212.5,"Table 4 (children): equal-weighted average of single-age kcal values for ages 2-5 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
2-5,male,moderate,1386.2,"Table 4 (children): equal-weighted average of single-age kcal values for ages 2-5 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
2-5,male,active,1561.2,"Table 4 (children): equal-weighted average of single-age kcal values for ages 2-5 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
2-5,female,sedentary,1126.2,"Table 4 (children): equal-weighted average of single-age kcal values for ages 2-5 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
2-5,female,moderate,1288.8,"Table 4 (children): equal-weighted average of single-age kcal values for ages 2-5 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
2-5,female,active,1448.8,"Table 4 (children): equal-weighted average of single-age kcal values for ages 2-5 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
6-9,male,sedentary,1550.0,"Table 4 (children): equal-weighted average of single-age kcal values for ages 6-9 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
6-9,male,moderate,1772.5,"Table 4 (children): equal-weighted average of single-age kcal values for ages 6-9 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
6-9,male,active,1995.0,"Table 4 (children): equal-weighted average of single-age kcal values for ages 6-9 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
6-9,female,sedentary,1445.0,"Table 4 (children): equal-weighted average of single-age kcal values for ages 6-9 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
6-9,female,moderate,1647.5,"Table 4 (children): equal-weighted average of single-age kcal values for ages 6-9 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
6-9,female,active,1852.5,"Table 4 (children): equal-weighted average of single-age kcal values for ages 6-9 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
10-13,male,sedentary,1775.0,"Table 4 (children): equal-weighted average of single-age kcal values for ages 10-13 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
10-13,male,moderate,2027.5,"Table 4 (children): equal-weighted average of single-age kcal values for ages 10-13 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
10-13,male,active,2285.0,"Table 4 (children): equal-weighted average of single-age kcal values for ages 10-13 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
10-13,female,sedentary,1660.0,"Table 4 (children): equal-weighted average of single-age kcal values for ages 10-13 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
10-13,female,moderate,1900.0,"Table 4 (children): equal-weighted average of single-age kcal values for ages 10-13 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
10-13,female,active,2137.5,"Table 4 (children): equal-weighted average of single-age kcal values for ages 10-13 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
14-17,male,sedentary,2222.5,"Table 4 (children): equal-weighted average of single-age kcal values for ages 14-17 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
14-17,male,moderate,2532.5,"Table 4 (children): equal-weighted average of single-age kcal values for ages 14-17 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
14-17,male,active,2852.5,"Table 4 (children): equal-weighted average of single-age kcal values for ages 14-17 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
14-17,female,sedentary,1885.0,"Table 4 (children): equal-weighted average of single-age kcal values for ages 14-17 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
14-17,female,moderate,2155.0,"Table 4 (children): equal-weighted average of single-age kcal values for ages 14-17 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
14-17,female,active,2425.0,"Table 4 (children): equal-weighted average of single-age kcal values for ages 14-17 (within-band values linearly interpolated where Table 4 gives a range); single-year population weights not published, see demographic_grid.md"
18-24,male,sedentary,2500.0,"Table 5 (adults): constant lookup, canonical band '18-24' -> Tabelraamat band '18-24'"
18-24,male,moderate,2800.0,"Table 5 (adults): constant lookup, canonical band '18-24' -> Tabelraamat band '18-24'"
18-24,male,active,3150.0,"Table 5 (adults): constant lookup, canonical band '18-24' -> Tabelraamat band '18-24'"
18-24,female,sedentary,2000.0,"Table 5 (adults): constant lookup, canonical band '18-24' -> Tabelraamat band '18-24'"
18-24,female,moderate,2250.0,"Table 5 (adults): constant lookup, canonical band '18-24' -> Tabelraamat band '18-24'"
18-24,female,active,2550.0,"Table 5 (adults): constant lookup, canonical band '18-24' -> Tabelraamat band '18-24'"
25-29,male,sedentary,2350.0,"Table 5 (adults): constant lookup, canonical band '25-29' -> Tabelraamat band '25-50'"
25-29,male,moderate,2700.0,"Table 5 (adults): constant lookup, canonical band '25-29' -> Tabelraamat band '25-50'"
25-29,male,active,3050.0,"Table 5 (adults): constant lookup, canonical band '25-29' -> Tabelraamat band '25-50'"
25-29,female,sedentary,1900.0,"Table 5 (adults): constant lookup, canonical band '25-29' -> Tabelraamat band '25-50'"
25-29,female,moderate,2150.0,"Table 5 (adults): constant lookup, canonical band '25-29' -> Tabelraamat band '25-50'"
25-29,female,active,2450.0,"Table 5 (adults): constant lookup, canonical band '25-29' -> Tabelraamat band '25-50'"
30-34,male,sedentary,2350.0,"Table 5 (adults): constant lookup, canonical band '30-34' -> Tabelraamat band '25-50'"
30-34,male,moderate,2700.0,"Table 5 (adults): constant lookup, canonical band '30-34' -> Tabelraamat band '25-50'"
30-34,male,active,3050.0,"Table 5 (adults): constant lookup, canonical band '30-34' -> Tabelraamat band '25-50'"
30-34,female,sedentary,1900.0,"Table 5 (adults): constant lookup, canonical band '30-34' -> Tabelraamat band '25-50'"
30-34,female,moderate,2150.0,"Table 5 (adults): constant lookup, canonical band '30-34' -> Tabelraamat band '25-50'"
30-34,female,active,2450.0,"Table 5 (adults): constant lookup, canonical band '30-34' -> Tabelraamat band '25-50'"
35-39,male,sedentary,2350.0,"Table 5 (adults): constant lookup, canonical band '35-39' -> Tabelraamat band '25-50'"
35-39,male,moderate,2700.0,"Table 5 (adults): constant lookup, canonical band '35-39' -> Tabelraamat band '25-50'"
35-39,male,active,3050.0,"Table 5 (adults): constant lookup, canonical band '35-39' -> Tabelraamat band '25-50'"
35-39,female,sedentary,1900.0,"Table 5 (adults): constant lookup, canonical band '35-39' -> Tabelraamat band '25-50'"
35-39,female,moderate,2150.0,"Table 5 (adults): constant lookup, canonical band '35-39' -> Tabelraamat band '25-50'"
35-39,female,active,2450.0,"Table 5 (adults): constant lookup, canonical band '35-39' -> Tabelraamat band '25-50'"
40-44,male,sedentary,2350.0,"Table 5 (adults): constant lookup, canonical band '40-44' -> Tabelraamat band '25-50'"
40-44,male,moderate,2700.0,"Table 5 (adults): constant lookup, canonical band '40-44' -> Tabelraamat band '25-50'"
40-44,male,active,3050.0,"Table 5 (adults): constant lookup, canonical band '40-44' -> Tabelraamat band '25-50'"
40-44,female,sedentary,1900.0,"Table 5 (adults): constant lookup, canonical band '40-44' -> Tabelraamat band '25-50'"
40-44,female,moderate,2150.0,"Table 5 (adults): constant lookup, canonical band '40-44' -> Tabelraamat band '25-50'"
40-44,female,active,2450.0,"Table 5 (adults): constant lookup, canonical band '40-44' -> Tabelraamat band '25-50'"
45-49,male,sedentary,2350.0,"Table 5 (adults): constant lookup, canonical band '45-49' -> Tabelraamat band '25-50'"
45-49,male,moderate,2700.0,"Table 5 (adults): constant lookup, canonical band '45-49' -> Tabelraamat band '25-50'"
45-49,male,active,3050.0,"Table 5 (adults): constant lookup, canonical band '45-49' -> Tabelraamat band '25-50'"
45-49,female,sedentary,1900.0,"Table 5 (adults): constant lookup, canonical band '45-49' -> Tabelraamat band '25-50'"
45-49,female,moderate,2150.0,"Table 5 (adults): constant lookup, canonical band '45-49' -> Tabelraamat band '25-50'"
45-49,female,active,2450.0,"Table 5 (adults): constant lookup, canonical band '45-49' -> Tabelraamat band '25-50'"
50-54,male,sedentary,2150.0,"Table 5 (adults): constant lookup, canonical band '50-54' -> Tabelraamat band '51-70'"
50-54,male,moderate,2450.0,"Table 5 (adults): constant lookup, canonical band '50-54' -> Tabelraamat band '51-70'"
50-54,male,active,2750.0,"Table 5 (adults): constant lookup, canonical band '50-54' -> Tabelraamat band '51-70'"
50-54,female,sedentary,1750.0,"Table 5 (adults): constant lookup, canonical band '50-54' -> Tabelraamat band '51-70'"
50-54,female,moderate,2000.0,"Table 5 (adults): constant lookup, canonical band '50-54' -> Tabelraamat band '51-70'"
50-54,female,active,2250.0,"Table 5 (adults): constant lookup, canonical band '50-54' -> Tabelraamat band '51-70'"
55-59,male,sedentary,2150.0,"Table 5 (adults): constant lookup, canonical band '55-59' -> Tabelraamat band '51-70'"
55-59,male,moderate,2450.0,"Table 5 (adults): constant lookup, canonical band '55-59' -> Tabelraamat band '51-70'"
55-59,male,active,2750.0,"Table 5 (adults): constant lookup, canonical band '55-59' -> Tabelraamat band '51-70'"
55-59,female,sedentary,1750.0,"Table 5 (adults): constant lookup, canonical band '55-59' -> Tabelraamat band '51-70'"
55-59,female,moderate,2000.0,"Table 5 (adults): constant lookup, canonical band '55-59' -> Tabelraamat band '51-70'"
55-59,female,active,2250.0,"Table 5 (adults): constant lookup, canonical band '55-59' -> Tabelraamat band '51-70'"
60-64,male,sedentary,2150.0,"Table 5 (adults): constant lookup, canonical band '60-64' -> Tabelraamat band '51-70'"
60-64,male,moderate,2450.0,"Table 5 (adults): constant lookup, canonical band '60-64' -> Tabelraamat band '51-70'"
60-64,male,active,2750.0,"Table 5 (adults): constant lookup, canonical band '60-64' -> Tabelraamat band '51-70'"
60-64,female,sedentary,1750.0,"Table 5 (adults): constant lookup, canonical band '60-64' -> Tabelraamat band '51-70'"
60-64,female,moderate,2000.0,"Table 5 (adults): constant lookup, canonical band '60-64' -> Tabelraamat band '51-70'"
60-64,female,active,2250.0,"Table 5 (adults): constant lookup, canonical band '60-64' -> Tabelraamat band '51-70'"
65-69,male,sedentary,2150.0,"Table 5 (adults): constant lookup, canonical band '65-69' -> Tabelraamat band '51-70'"
65-69,male,moderate,2450.0,"Table 5 (adults): constant lookup, canonical band '65-69' -> Tabelraamat band '51-70'"
65-69,male,active,2750.0,"Table 5 (adults): constant lookup, canonical band '65-69' -> Tabelraamat band '51-70'"
65-69,female,sedentary,1750.0,"Table 5 (adults): constant lookup, canonical band '65-69' -> Tabelraamat band '51-70'"
65-69,female,moderate,2000.0,"Table 5 (adults): constant lookup, canonical band '65-69' -> Tabelraamat band '51-70'"
65-69,female,active,2250.0,"Table 5 (adults): constant lookup, canonical band '65-69' -> Tabelraamat band '51-70'"
70-74,male,sedentary,2100.0,"Table 5 (adults): constant lookup, canonical band '70-74' -> Tabelraamat band '>70'"
70-74,male,moderate,2400.0,"Table 5 (adults): constant lookup, canonical band '70-74' -> Tabelraamat band '>70'"
70-74,male,active,2700.0,"Table 5 (adults): constant lookup, canonical band '70-74' -> Tabelraamat band '>70'"
70-74,female,sedentary,1700.0,"Table 5 (adults): constant lookup, canonical band '70-74' -> Tabelraamat band '>70'"
70-74,female,moderate,1950.0,"Table 5 (adults): constant lookup, canonical band '70-74' -> Tabelraamat band '>70'"
70-74,female,active,2200.0,"Table 5 (adults): constant lookup, canonical band '70-74' -> Tabelraamat band '>70'"
75+,male,sedentary,2100.0,"Table 5 (adults): constant lookup, canonical band '75+' -> Tabelraamat band '>70'"
75+,male,moderate,2400.0,"Table 5 (adults): constant lookup, canonical band '75+' -> Tabelraamat band '>70'"
75+,male,active,2700.0,"Table 5 (adults): constant lookup, canonical band '75+' -> Tabelraamat band '>70'"
75+,female,sedentary,1700.0,"Table 5 (adults): constant lookup, canonical band '75+' -> Tabelraamat band '>70'"
75+,female,moderate,1950.0,"Table 5 (adults): constant lookup, canonical band '75+' -> Tabelraamat band '>70'"
75+,female,active,2200.0,"Table 5 (adults): constant lookup, canonical band '75+' -> Tabelraamat band '>70'"
