pyramid_group,subitem,recommended_g_per_cap_day,actual_g_per_cap_day,ratio_actual_over_recommended,assessment
Grain products & potatoes,High-fibre bread/baked goods,131.8,73.7,0.56,under-consuming
Grain products & potatoes,Porridges/pasta/rice/grain products,262.0,125.9,0.48,under-consuming
Grain products & potatoes,"Potato, sweet potato",177.8,97.8,0.55,under-consuming
"Vegetables, fruits & berries",Vegetables,479.4,135.7,0.28,under-consuming
Dairy products,(total),805.7,296.4,0.37,under-consuming
"Fish, eggs & meat",Fish & seafood,79.6,23.5,0.3,under-consuming
"Fish, eggs & meat",Eggs,30.0,20.6,0.69,under-consuming
"Nuts, seeds, oils & fats",Oils/fats/spreads,20.6,18.0,0.88,under-consuming
"Sweets, snacks & discretionary",(total),51.4,158.9,3.09,over-consuming
"Vegetables, fruits & berries",Fruits+Berries (combined),265.6,212.1,0.8,under-consuming
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",37.8,3.3,0.09,under-consuming
"Fish, eggs & meat",Poultry,38.5,37.0,0.96,roughly on target
"Fish, eggs & meat",Red meat,20.1,70.7,3.51,over-consuming
"Vegetables, fruits & berries",Legumes,57.1,,,NOT MEASURED - no RTU011 consumption data exists for legumes
