age_band,sex,pyramid_group,subitem,recommended_g_per_day,actual_g_per_day,ratio
6-9,male,Grain products & potatoes,High-fibre bread/baked goods,96.2,49.0,0.51
6-9,male,Grain products & potatoes,Porridges/pasta/rice/grain products,175.0,169.0,0.97
6-9,male,Grain products & potatoes,"Potato, sweet potato",150.0,95.0,0.63
6-9,male,"Vegetables, fruits & berries",Vegetables,400.0,95.0,0.24
6-9,male,Dairy products,(total),750.0,471.0,0.63
6-9,male,"Fish, eggs & meat",Fish & seafood,80.6,13.0,0.16
6-9,male,"Fish, eggs & meat",Eggs,30.0,17.0,0.57
6-9,male,"Nuts, seeds, oils & fats",Oils/fats/spreads,17.5,13.0,0.74
6-9,male,"Sweets, snacks & discretionary",(total),37.8,217.0,5.74
6-9,male,"Vegetables, fruits & berries",Fruits+Berries (combined),240.0,233.0,0.97
6-9,male,"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",26.2,1.0,0.04
6-9,male,"Fish, eggs & meat",Poultry,35.6,29.9,0.84
6-9,male,"Fish, eggs & meat",Red meat,18.8,57.1,3.05
6-9,female,Grain products & potatoes,High-fibre bread/baked goods,96.2,45.0,0.47
6-9,female,Grain products & potatoes,Porridges/pasta/rice/grain products,175.0,133.0,0.76
6-9,female,Grain products & potatoes,"Potato, sweet potato",100.0,88.0,0.88
6-9,female,"Vegetables, fruits & berries",Vegetables,300.0,99.0,0.33
6-9,female,Dairy products,(total),750.0,376.0,0.5
6-9,female,"Fish, eggs & meat",Fish & seafood,67.2,8.0,0.12
6-9,female,"Fish, eggs & meat",Eggs,30.0,15.0,0.5
6-9,female,"Nuts, seeds, oils & fats",Oils/fats/spreads,17.5,14.0,0.8
6-9,female,"Sweets, snacks & discretionary",(total),25.2,231.0,9.17
6-9,female,"Vegetables, fruits & berries",Fruits+Berries (combined),230.0,217.0,0.94
6-9,female,"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",26.2,1.0,0.04
6-9,female,"Fish, eggs & meat",Poultry,27.6,25.1,0.91
6-9,female,"Fish, eggs & meat",Red meat,18.8,47.9,2.56
30-34,male,Grain products & potatoes,High-fibre bread/baked goods,151.2,61.0,0.4
30-34,male,Grain products & potatoes,Porridges/pasta/rice/grain products,315.0,115.0,0.37
30-34,male,Grain products & potatoes,"Potato, sweet potato",250.0,122.0,0.49
30-34,male,"Vegetables, fruits & berries",Vegetables,600.0,153.0,0.26
30-34,male,Dairy products,(total),1050.0,318.0,0.3
30-34,male,"Fish, eggs & meat",Fish & seafood,80.6,18.0,0.22
30-34,male,"Fish, eggs & meat",Eggs,30.0,23.0,0.77
30-34,male,"Nuts, seeds, oils & fats",Oils/fats/spreads,27.5,17.0,0.62
30-34,male,"Sweets, snacks & discretionary",(total),63.0,215.0,3.41
30-34,male,"Vegetables, fruits & berries",Fruits+Berries (combined),350.0,208.0,0.59
30-34,male,"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",45.0,4.0,0.09
30-34,male,"Fish, eggs & meat",Poultry,39.5,49.4,1.25
30-34,male,"Fish, eggs & meat",Red meat,22.5,94.6,4.2
30-34,female,Grain products & potatoes,High-fibre bread/baked goods,123.8,56.0,0.45
30-34,female,Grain products & potatoes,Porridges/pasta/rice/grain products,245.0,151.0,0.62
30-34,female,Grain products & potatoes,"Potato, sweet potato",150.0,77.0,0.51
30-34,female,"Vegetables, fruits & berries",Vegetables,500.0,145.0,0.29
30-34,female,Dairy products,(total),750.0,308.0,0.41
30-34,female,"Fish, eggs & meat",Fish & seafood,80.6,21.0,0.26
30-34,female,"Fish, eggs & meat",Eggs,30.0,20.0,0.67
30-34,female,"Nuts, seeds, oils & fats",Oils/fats/spreads,17.5,22.0,1.26
30-34,female,"Sweets, snacks & discretionary",(total),50.4,155.0,3.08
30-34,female,"Vegetables, fruits & berries",Fruits+Berries (combined),240.0,239.0,1.0
30-34,female,"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",43.8,5.0,0.11
30-34,female,"Fish, eggs & meat",Poultry,39.5,36.0,0.91
30-34,female,"Fish, eggs & meat",Red meat,18.8,69.0,3.68
70-74,male,Grain products & potatoes,High-fibre bread/baked goods,151.2,111.0,0.73
70-74,male,Grain products & potatoes,Porridges/pasta/rice/grain products,280.0,151.0,0.54
70-74,male,Grain products & potatoes,"Potato, sweet potato",200.0,116.0,0.58
70-74,male,"Vegetables, fruits & berries",Vegetables,500.0,127.0,0.25
70-74,male,Dairy products,(total),750.0,285.0,0.38
70-74,male,"Fish, eggs & meat",Fish & seafood,80.6,36.0,0.45
70-74,male,"Fish, eggs & meat",Eggs,30.0,25.0,0.83
70-74,male,"Nuts, seeds, oils & fats",Oils/fats/spreads,22.5,23.0,1.02
70-74,male,"Sweets, snacks & discretionary",(total),50.4,123.0,2.44
70-74,male,"Vegetables, fruits & berries",Fruits+Berries (combined),240.0,159.0,0.66
70-74,male,"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",43.8,1.0,0.02
70-74,male,"Fish, eggs & meat",Poultry,39.5,43.9,1.11
70-74,male,"Fish, eggs & meat",Red meat,22.5,84.1,3.74
70-74,female,Grain products & potatoes,High-fibre bread/baked goods,123.8,71.0,0.57
70-74,female,Grain products & potatoes,Porridges/pasta/rice/grain products,245.0,107.0,0.44
70-74,female,Grain products & potatoes,"Potato, sweet potato",150.0,78.0,0.52
70-74,female,"Vegetables, fruits & berries",Vegetables,400.0,134.0,0.34
70-74,female,Dairy products,(total),750.0,245.0,0.33
70-74,female,"Fish, eggs & meat",Fish & seafood,80.6,21.0,0.26
70-74,female,"Fish, eggs & meat",Eggs,30.0,17.0,0.57
70-74,female,"Nuts, seeds, oils & fats",Oils/fats/spreads,17.5,14.0,0.8
70-74,female,"Sweets, snacks & discretionary",(total),50.4,80.0,1.59
70-74,female,"Vegetables, fruits & berries",Fruits+Berries (combined),240.0,249.0,1.04
