pyramid_group,subitem,national_kg_per_day,national_tonnes_per_year,avg_g_per_capita_per_day
"Vegetables, fruits & berries",Vegetables,642284.8,234433.97,479.39
"Vegetables, fruits & berries",Legumes,76475.4,27913.51,57.08
"Vegetables, fruits & berries",Fruits,299794.1,109424.84,223.76
"Vegetables, fruits & berries",Berries,55989.6,20436.2,41.79
Grain products & potatoes,High-fibre bread/baked goods,176533.2,64434.62,131.76
Grain products & potatoes,Porridges/pasta/rice/grain products,350983.8,128109.09,261.97
Grain products & potatoes,"Potato, sweet potato",238177.6,86934.83,177.77
Dairy products,(total),656649.9,239677.23,490.12
"Nuts, seeds, oils & fats",Nuts,42307.2,15442.12,31.58
"Nuts, seeds, oils & fats","Seeds, cocoa",8396.0,3064.54,6.27
"Nuts, seeds, oils & fats",Oils/fats/spreads,27534.8,10050.19,20.55
"Fish, eggs & meat",Fish & seafood,106638.0,38922.86,79.59
"Fish, eggs & meat",Eggs,40193.6,14670.65,30.0
"Fish, eggs & meat",Poultry,51577.5,18825.79,38.5
"Fish, eggs & meat",Red meat,26998.2,9854.33,20.15
"Sweets, snacks & discretionary",(total),68867.5,25136.63,51.4
