pyramid_group,subitem,kcal_per_portion,kcal_level,portion_type,portion_low,portion_high,raw_value,note
"Vegetables, fruits & berries",(total),,1000,gte,4.0,,>=4,
"Vegetables, fruits & berries",(total),,1200,gte,5.0,,>=5,
"Vegetables, fruits & berries",(total),,1400,gte,5.0,,>=5,
"Vegetables, fruits & berries",(total),,1600,gte,6.0,,>=6,
"Vegetables, fruits & berries",(total),,1800,gte,6.0,,>=6,
"Vegetables, fruits & berries",(total),,2000,gte,7.0,,>=7,
"Vegetables, fruits & berries",(total),,2200,gte,8.0,,>=8,
"Vegetables, fruits & berries",(total),,2400,gte,8.0,,>=8,
"Vegetables, fruits & berries",(total),,2600,gte,10.0,,>=10,
"Vegetables, fruits & berries",(total),,2800,gte,11.0,,>=11,
"Vegetables, fruits & berries",(total),,3000,gte,11.0,,>=11,
"Vegetables, fruits & berries",(total),,3200,gte,12.0,,>=12,
"Vegetables, fruits & berries",(total),,3400,gte,13.0,,>=13,
"Vegetables, fruits & berries",(total),,3600,gte,14.0,,>=14,
"Vegetables, fruits & berries",Vegetables,30,1000,gte,2.0,,>=2,
"Vegetables, fruits & berries",Vegetables,30,1200,gte,2.0,,>=2,
"Vegetables, fruits & berries",Vegetables,30,1400,gte,3.0,,>=3,
"Vegetables, fruits & berries",Vegetables,30,1600,gte,3.0,,>=3,
"Vegetables, fruits & berries",Vegetables,30,1800,gte,4.0,,>=4,
"Vegetables, fruits & berries",Vegetables,30,2000,gte,4.0,,>=4,
"Vegetables, fruits & berries",Vegetables,30,2200,gte,5.0,,>=5,
"Vegetables, fruits & berries",Vegetables,30,2400,gte,5.0,,>=5,
"Vegetables, fruits & berries",Vegetables,30,2600,gte,6.0,,>=6,
"Vegetables, fruits & berries",Vegetables,30,2800,gte,6.0,,>=6,
"Vegetables, fruits & berries",Vegetables,30,3000,gte,7.0,,>=7,
"Vegetables, fruits & berries",Vegetables,30,3200,gte,7.0,,>=7,
"Vegetables, fruits & berries",Vegetables,30,3400,gte,8.0,,>=8,
