pyramid_group,subitem,waste_tonnes_year,pct_of_total_sei_waste,consumption_tonnes_year,loss_rate_vs_consumption_pct,required_production_inflator,household_waste_tonnes_year,household_share_of_this_groups_waste_pct,inflator_if_household_waste_cut_25pct,inflator_if_household_waste_cut_50pct,method
"Vegetables, fruits & berries",Vegetables,50062.0,30.06,66335.0,75.5,1.755,25780.0,51.5,1.658,1.56,SEI 2021 category share (household+retail Estonia-specific; food-industry/catering/non-potato-primary-production distributed via household+retail proportions as a documented proxy)
"Vegetables, fruits & berries",Fruits+Berries (combined),33007.0,19.82,103700.0,31.8,1.318,14502.0,43.9,1.283,1.248,SEI 2021 category share (household+retail Estonia-specific; food-industry/catering/non-potato-primary-production distributed via household+retail proportions as a documented proxy)
Grain products & potatoes,High-fibre bread/baked goods,14659.0,8.8,36024.0,40.7,1.407,5639.0,38.5,1.368,1.329,SEI 2021 category share (household+retail Estonia-specific; food-industry/catering/non-potato-primary-production distributed via household+retail proportions as a documented proxy)
Grain products & potatoes,Porridges/pasta/rice/grain products,3005.0,1.8,61589.0,4.9,1.049,1611.0,53.6,1.042,1.036,SEI 2021 category share (household+retail Estonia-specific; food-industry/catering/non-potato-primary-production distributed via household+retail proportions as a documented proxy)
Grain products & potatoes,"Potato, sweet potato",14167.0,8.51,47804.0,29.6,1.296,0,0.0,1.296,1.296,SEI 2021 category share (household+retail Estonia-specific; food-industry/catering/non-potato-primary-production distributed via household+retail proportions as a documented proxy)
Dairy products,Dairy products,18899.0,11.35,144942.0,13.0,1.13,9793.0,51.8,1.113,1.097,SEI 2021 category share (household+retail Estonia-specific; food-industry/catering/non-potato-primary-production distributed via household+retail proportions as a documented proxy)
"Fish, eggs & meat",Eggs,1128.0,0.68,10067.0,11.2,1.112,680.0,60.3,1.095,1.078,SEI 2021 category share (household+retail Estonia-specific; food-industry/catering/non-potato-primary-production distributed via household+retail proportions as a documented proxy)
"Fish, eggs & meat",Poultry,2628.0,1.58,18081.0,14.5,1.145,830.0,31.6,1.134,1.122,SEI 2021 category share (household+retail Estonia-specific; food-industry/catering/non-potato-primary-production distributed via household+retail proportions as a documented proxy)
"Fish, eggs & meat",Red meat,5027.0,3.02,34591.0,14.5,1.145,1587.0,31.6,1.134,1.122,SEI 2021 category share (household+retail Estonia-specific; food-industry/catering/non-potato-primary-production distributed via household+retail proportions as a documented proxy)
"Fish, eggs & meat",Fish & seafood,1999.0,1.2,11495.0,17.4,1.174,806.0,40.3,1.156,1.139,SEI 2021 category share (household+retail Estonia-specific; food-industry/catering/non-potato-primary-production distributed via household+retail proportions as a documented proxy)
(all groups),Mixed/prepared dishes - not attributable to one food group,21127.0,12.69,,,,,,,,"SEI 2021: household prepared/cooked-food residue + retail ready-to-eat - genuinely cross-category, not allocated to one pyramid group"
