table,year,type,indicator,value
PM20,2024,total,sown_area_ha,
PM20,2024,total,avg_yield_kg_per_ha,
PM20,2024,total,production_t,
PM20,2024,total,imports_t,
PM20,2024,total,imports_from_eu_t,
PM20,2024,total,exports_t,
PM20,2024,total,exports_to_eu_t,
PM20,2024,total,initial_stocks_t,
PM20,2024,total,final_stocks_t,
PM20,2024,total,domestic_use_t,
PM20,2024,total,used_as_seed_t,
PM20,2024,total,loss_t,
PM20,2024,total,used_as_feed_t,
PM20,2024,total,industrial_use_t,
PM20,2024,total,human_consumption_gross_t,
PM20,2024,total,human_consumption_net_t,
PM20,2024,total,human_consumption_net_per_capita_kg,
PM20,2024,wheat,sown_area_ha,173320
PM20,2024,wheat,avg_yield_kg_per_ha,4297
PM20,2024,wheat,production_t,744748
PM20,2024,wheat,imports_t,30726
PM20,2024,wheat,imports_from_eu_t,30696
PM20,2024,wheat,exports_t,619130
PM20,2024,wheat,exports_to_eu_t,265483
PM20,2024,wheat,initial_stocks_t,315276
PM20,2024,wheat,final_stocks_t,258709
PM20,2024,wheat,domestic_use_t,212912
PM20,2024,wheat,used_as_seed_t,37264
PM20,2024,wheat,loss_t,3127
PM20,2024,wheat,used_as_feed_t,
PM20,2024,wheat,industrial_use_t,
PM20,2024,wheat,human_consumption_gross_t,37153
PM20,2024,wheat,human_consumption_net_t,26786
PM20,2024,wheat,human_consumption_net_per_capita_kg,
PM20,2024,durum_wheat,sown_area_ha,0
PM20,2024,durum_wheat,avg_yield_kg_per_ha,0
PM20,2024,durum_wheat,production_t,0
PM20,2024,durum_wheat,imports_t,875
PM20,2024,durum_wheat,imports_from_eu_t,875
PM20,2024,durum_wheat,exports_t,473
PM20,2024,durum_wheat,exports_to_eu_t,472
PM20,2024,durum_wheat,initial_stocks_t,
PM20,2024,durum_wheat,final_stocks_t,
PM20,2024,durum_wheat,domestic_use_t,402
PM20,2024,durum_wheat,used_as_seed_t,0
PM20,2024,durum_wheat,loss_t,8
PM20,2024,durum_wheat,used_as_feed_t,
PM20,2024,durum_wheat,industrial_use_t,
PM20,2024,durum_wheat,human_consumption_gross_t,394
PM20,2024,durum_wheat,human_consumption_net_t,287
PM20,2024,durum_wheat,human_consumption_net_per_capita_kg,
PM20,2024,rye,sown_area_ha,18235
PM20,2024,rye,avg_yield_kg_per_ha,3983
PM20,2024,rye,production_t,72623
PM20,2024,rye,imports_t,7456
PM20,2024,rye,imports_from_eu_t,7456
PM20,2024,rye,exports_t,16480
PM20,2024,rye,exports_to_eu_t,16450
PM20,2024,rye,initial_stocks_t,100260
PM20,2024,rye,final_stocks_t,130898
PM20,2024,rye,domestic_use_t,32961
PM20,2024,rye,used_as_seed_t,3337
PM20,2024,rye,loss_t,1272
PM20,2024,rye,used_as_feed_t,
PM20,2024,rye,industrial_use_t,
PM20,2024,rye,human_consumption_gross_t,18442
PM20,2024,rye,human_consumption_net_t,16393
PM20,2024,rye,human_consumption_net_per_capita_kg,
PM20,2024,barley,sown_area_ha,95056
PM20,2024,barley,avg_yield_kg_per_ha,3316
PM20,2024,barley,production_t,315195
PM20,2024,barley,imports_t,33039
PM20,2024,barley,imports_from_eu_t,31311
PM20,2024,barley,exports_t,179762
PM20,2024,barley,exports_to_eu_t,61714
PM20,2024,barley,initial_stocks_t,126428
PM20,2024,barley,final_stocks_t,117832
PM20,2024,barley,domestic_use_t,177068
PM20,2024,barley,used_as_seed_t,21863
PM20,2024,barley,loss_t,3369
PM20,2024,barley,used_as_feed_t,150795
PM20,2024,barley,industrial_use_t,0
PM20,2024,barley,human_consumption_gross_t,1041
PM20,2024,barley,human_consumption_net_t,821
PM20,2024,barley,human_consumption_net_per_capita_kg,
PM20,2024,oats,sown_area_ha,
PM20,2024,oats,avg_yield_kg_per_ha,
PM20,2024,oats,production_t,
PM20,2024,oats,imports_t,
PM20,2024,oats,imports_from_eu_t,
PM20,2024,oats,exports_t,
PM20,2024,oats,exports_to_eu_t,
PM20,2024,oats,initial_stocks_t,
