table,year,type,indicator,value
PM37,2024,total,production_t,
PM37,2024,total,imports_t,
PM37,2024,total,imports_from_eu_t,
PM37,2024,total,exports_t,
PM37,2024,total,exports_to_eu_t,
PM37,2024,total,changes_in_stocks_t,
PM37,2024,total,domestic_use_total_t,
PM37,2024,total,used_as_seed_t,
PM37,2024,total,loss_t,
PM37,2024,total,used_as_feed_t,
PM37,2024,total,industrial_use_t,
PM37,2024,total,human_consumption_t,
PM37,2024,total,human_consumption_per_capita_kg,
PM37,2024,rapeseed_turnip_rape,production_t,96075
PM37,2024,rapeseed_turnip_rape,imports_t,57960
PM37,2024,rapeseed_turnip_rape,imports_from_eu_t,57850
PM37,2024,rapeseed_turnip_rape,exports_t,19828
PM37,2024,rapeseed_turnip_rape,exports_to_eu_t,17624
PM37,2024,rapeseed_turnip_rape,changes_in_stocks_t,-4355
PM37,2024,rapeseed_turnip_rape,domestic_use_total_t,138562
PM37,2024,rapeseed_turnip_rape,used_as_seed_t,422
PM37,2024,rapeseed_turnip_rape,loss_t,2684
PM37,2024,rapeseed_turnip_rape,used_as_feed_t,
PM37,2024,rapeseed_turnip_rape,industrial_use_t,135457
PM37,2024,rapeseed_turnip_rape,human_consumption_t,0
PM37,2024,rapeseed_turnip_rape,human_consumption_per_capita_kg,
PM37,2024,sunflower,production_t,0
PM37,2024,sunflower,imports_t,4817
PM37,2024,sunflower,imports_from_eu_t,2462
PM37,2024,sunflower,exports_t,2145
PM37,2024,sunflower,exports_to_eu_t,2140
PM37,2024,sunflower,changes_in_stocks_t,
PM37,2024,sunflower,domestic_use_total_t,2672
PM37,2024,sunflower,used_as_seed_t,0
PM37,2024,sunflower,loss_t,53
PM37,2024,sunflower,used_as_feed_t,0
PM37,2024,sunflower,industrial_use_t,0
PM37,2024,sunflower,human_consumption_t,2619
PM37,2024,sunflower,human_consumption_per_capita_kg,
PM37,2024,soya,production_t,0
PM37,2024,soya,imports_t,106
PM37,2024,soya,imports_from_eu_t,106
PM37,2024,soya,exports_t,15
PM37,2024,soya,exports_to_eu_t,15
PM37,2024,soya,changes_in_stocks_t,
PM37,2024,soya,domestic_use_total_t,92
PM37,2024,soya,used_as_seed_t,0
PM37,2024,soya,loss_t,2
PM37,2024,soya,used_as_feed_t,0
PM37,2024,soya,industrial_use_t,0
PM37,2024,soya,human_consumption_t,90
PM37,2024,soya,human_consumption_per_capita_kg,
