table,year,type,indicator,value
PM42,2024,total,gross_indigenous_production_kt,78.9
PM42,2024,total,imports_live_animals_kt,
PM42,2024,total,exports_live_animals_kt,
PM42,2024,total,imports_meat_kt,82.1
PM42,2024,total,exports_meat_kt,50.4
PM42,2024,total,changes_in_stocks_kt,
PM42,2024,total,domestic_use_kt,110.6
PM42,2024,total,loss_kt,0.1
PM42,2024,total,used_as_feed_kt,
PM42,2024,total,human_consumption_kt,110.5
PM42,2024,total,human_consumption_per_capita_kg,80.4
PM42,2024,beef,gross_indigenous_production_kt,11.8
PM42,2024,beef,imports_live_animals_kt,
PM42,2024,beef,exports_live_animals_kt,
PM42,2024,beef,imports_meat_kt,7.2
PM42,2024,beef,exports_meat_kt,8.2
PM42,2024,beef,changes_in_stocks_kt,
PM42,2024,beef,domestic_use_kt,10.8
PM42,2024,beef,loss_kt,0
PM42,2024,beef,used_as_feed_kt,
PM42,2024,beef,human_consumption_kt,10.8
PM42,2024,beef,human_consumption_per_capita_kg,7.9
PM42,2024,pork,gross_indigenous_production_kt,42.1
PM42,2024,pork,imports_live_animals_kt,
PM42,2024,pork,exports_live_animals_kt,
PM42,2024,pork,imports_meat_kt,38.9
PM42,2024,pork,exports_meat_kt,22.6
PM42,2024,pork,changes_in_stocks_kt,
PM42,2024,pork,domestic_use_kt,58.4
PM42,2024,pork,loss_kt,0.1
PM42,2024,pork,used_as_feed_kt,
PM42,2024,pork,human_consumption_kt,58.3
PM42,2024,pork,human_consumption_per_capita_kg,42.4
PM42,2024,sheep_goat,gross_indigenous_production_kt,0.4
PM42,2024,sheep_goat,imports_live_animals_kt,
PM42,2024,sheep_goat,exports_live_animals_kt,
PM42,2024,sheep_goat,imports_meat_kt,0.4
PM42,2024,sheep_goat,exports_meat_kt,0.3
PM42,2024,sheep_goat,changes_in_stocks_kt,
PM42,2024,sheep_goat,domestic_use_kt,0.5
PM42,2024,sheep_goat,loss_kt,0
PM42,2024,sheep_goat,used_as_feed_kt,
PM42,2024,sheep_goat,human_consumption_kt,0.5
PM42,2024,sheep_goat,human_consumption_per_capita_kg,0.4
PM42,2024,poultry,gross_indigenous_production_kt,22.2
PM42,2024,poultry,imports_live_animals_kt,
PM42,2024,poultry,exports_live_animals_kt,
PM42,2024,poultry,imports_meat_kt,29
PM42,2024,poultry,exports_meat_kt,13.2
PM42,2024,poultry,changes_in_stocks_kt,
PM42,2024,poultry,domestic_use_kt,38
PM42,2024,poultry,loss_kt,0
PM42,2024,poultry,used_as_feed_kt,
PM42,2024,poultry,human_consumption_kt,38
PM42,2024,poultry,human_consumption_per_capita_kg,27.6
PM42,2024,other_animals,gross_indigenous_production_kt,
PM42,2024,other_animals,imports_live_animals_kt,
PM42,2024,other_animals,exports_live_animals_kt,
PM42,2024,other_animals,imports_meat_kt,
PM42,2024,other_animals,exports_meat_kt,
PM42,2024,other_animals,changes_in_stocks_kt,
PM42,2024,other_animals,domestic_use_kt,
PM42,2024,other_animals,loss_kt,
PM42,2024,other_animals,used_as_feed_kt,
PM42,2024,other_animals,human_consumption_kt,
PM42,2024,other_animals,human_consumption_per_capita_kg,
PM42,2024,offals,gross_indigenous_production_kt,2.4
PM42,2024,offals,imports_live_animals_kt,
PM42,2024,offals,exports_live_animals_kt,
PM42,2024,offals,imports_meat_kt,6.6
PM42,2024,offals,exports_meat_kt,6.1
PM42,2024,offals,changes_in_stocks_kt,
PM42,2024,offals,domestic_use_kt,2.9
PM42,2024,offals,loss_kt,0
PM42,2024,offals,used_as_feed_kt,
PM42,2024,offals,human_consumption_kt,2.9
PM42,2024,offals,human_consumption_per_capita_kg,2.1
