table,year,type,indicator,value
PM47,2024,fresh_products_excl_cream,production_kt,177.7
PM47,2024,fresh_products_excl_cream,imports_kt,18.2
PM47,2024,fresh_products_excl_cream,exports_kt,47.6
PM47,2024,fresh_products_excl_cream,changes_in_stocks_kt,
PM47,2024,fresh_products_excl_cream,domestic_use_total_kt,148.3
PM47,2024,fresh_products_excl_cream,loss_kt,
PM47,2024,fresh_products_excl_cream,used_as_feed_kt,
PM47,2024,fresh_products_excl_cream,industrial_use_kt,0
PM47,2024,fresh_products_excl_cream,human_consumption_kt,148.3
PM47,2024,fresh_products_excl_cream,human_consumption_per_capita_kg,107.9
PM47,2024,milk_and_buttermilk,production_kt,
PM47,2024,milk_and_buttermilk,imports_kt,
PM47,2024,milk_and_buttermilk,exports_kt,
PM47,2024,milk_and_buttermilk,changes_in_stocks_kt,
PM47,2024,milk_and_buttermilk,domestic_use_total_kt,
PM47,2024,milk_and_buttermilk,loss_kt,
PM47,2024,milk_and_buttermilk,used_as_feed_kt,
PM47,2024,milk_and_buttermilk,industrial_use_kt,
PM47,2024,milk_and_buttermilk,human_consumption_kt,
PM47,2024,milk_and_buttermilk,human_consumption_per_capita_kg,
PM47,2024,cream,production_kt,8.9
PM47,2024,cream,imports_kt,0.9
PM47,2024,cream,exports_kt,0.6
PM47,2024,cream,changes_in_stocks_kt,
PM47,2024,cream,domestic_use_total_kt,9.2
PM47,2024,cream,loss_kt,
PM47,2024,cream,used_as_feed_kt,
PM47,2024,cream,industrial_use_kt,0
PM47,2024,cream,human_consumption_kt,9.2
PM47,2024,cream,human_consumption_per_capita_kg,6.7
PM47,2024,concentrated_milk,production_kt,0
PM47,2024,concentrated_milk,imports_kt,0.7
PM47,2024,concentrated_milk,exports_kt,0.1
PM47,2024,concentrated_milk,changes_in_stocks_kt,
PM47,2024,concentrated_milk,domestic_use_total_kt,0.6
PM47,2024,concentrated_milk,loss_kt,
PM47,2024,concentrated_milk,used_as_feed_kt,
PM47,2024,concentrated_milk,industrial_use_kt,0
PM47,2024,concentrated_milk,human_consumption_kt,0.6
PM47,2024,concentrated_milk,human_consumption_per_capita_kg,0.4
PM47,2024,whole_milk_powder,production_kt,
PM47,2024,whole_milk_powder,imports_kt,1.1
PM47,2024,whole_milk_powder,exports_kt,0.1
PM47,2024,whole_milk_powder,changes_in_stocks_kt,
PM47,2024,whole_milk_powder,domestic_use_total_kt,
PM47,2024,whole_milk_powder,loss_kt,
PM47,2024,whole_milk_powder,used_as_feed_kt,
PM47,2024,whole_milk_powder,industrial_use_kt,
PM47,2024,whole_milk_powder,human_consumption_kt,
PM47,2024,whole_milk_powder,human_consumption_per_capita_kg,
PM47,2024,skimmed_milk_buttermilk_powder,production_kt,
PM47,2024,skimmed_milk_buttermilk_powder,imports_kt,1.9
PM47,2024,skimmed_milk_buttermilk_powder,exports_kt,4
PM47,2024,skimmed_milk_buttermilk_powder,changes_in_stocks_kt,
PM47,2024,skimmed_milk_buttermilk_powder,domestic_use_total_kt,
PM47,2024,skimmed_milk_buttermilk_powder,loss_kt,
PM47,2024,skimmed_milk_buttermilk_powder,used_as_feed_kt,
PM47,2024,skimmed_milk_buttermilk_powder,industrial_use_kt,
PM47,2024,skimmed_milk_buttermilk_powder,human_consumption_kt,
PM47,2024,skimmed_milk_buttermilk_powder,human_consumption_per_capita_kg,
PM47,2024,butter,production_kt,3.6
PM47,2024,butter,imports_kt,2.5
PM47,2024,butter,exports_kt,0.7
PM47,2024,butter,changes_in_stocks_kt,
PM47,2024,butter,domestic_use_total_kt,5.4
PM47,2024,butter,loss_kt,
PM47,2024,butter,used_as_feed_kt,
PM47,2024,butter,industrial_use_kt,0
PM47,2024,butter,human_consumption_kt,5.4
PM47,2024,butter,human_consumption_per_capita_kg,3.9
PM47,2024,cheese_incl_fresh,production_kt,65.9
PM47,2024,cheese_incl_fresh,imports_kt,10.9
PM47,2024,cheese_incl_fresh,exports_kt,42.2
PM47,2024,cheese_incl_fresh,changes_in_stocks_kt,
PM47,2024,cheese_incl_fresh,domestic_use_total_kt,34.6
PM47,2024,cheese_incl_fresh,loss_kt,
PM47,2024,cheese_incl_fresh,used_as_feed_kt,
PM47,2024,cheese_incl_fresh,industrial_use_kt,0.6
PM47,2024,cheese_incl_fresh,human_consumption_kt,34
PM47,2024,cheese_incl_fresh,human_consumption_per_capita_kg,24.7
PM47,2024,processed_cheese,production_kt,1.5
PM47,2024,processed_cheese,imports_kt,11.6
PM47,2024,processed_cheese,exports_kt,6.2
PM47,2024,processed_cheese,changes_in_stocks_kt,
PM47,2024,processed_cheese,domestic_use_total_kt,6.9
PM47,2024,processed_cheese,loss_kt,
PM47,2024,processed_cheese,used_as_feed_kt,
PM47,2024,processed_cheese,industrial_use_kt,0
PM47,2024,processed_cheese,human_consumption_kt,6.9
PM47,2024,processed_cheese,human_consumption_per_capita_kg,5
