year,sex,age_group,population
2026,male,0,4805
2026,female,0,4460
2026,male,1-4,23932
2026,female,1-4,22848
2026,male,5-9,38032
2026,female,5-9,35861
2026,male,10-14,38489
2026,female,10-14,36817
2026,male,15-19,41613
2026,female,15-19,39203
2026,male,20-24,35653
2026,female,20-24,34289
2026,male,25-29,34425
2026,female,25-29,32378
2026,male,30-34,42035
2026,female,30-34,39222
2026,male,35-39,56395
2026,female,35-39,51383
2026,male,40-44,52415
2026,female,40-44,49009
2026,male,45-49,48137
2026,female,45-49,46152
2026,male,50-54,46455
2026,female,50-54,46371
2026,male,55-59,41295
2026,female,55-59,44065
2026,male,60-64,38798
2026,female,60-64,45264
2026,male,65-69,35515
2026,female,65-69,47522
2026,male,70-74,28284
2026,female,70-74,44008
2026,male,75-79,19907
2026,female,75-79,37255
2026,male,80-84,10917
2026,female,80-84,25239
2026,male,85-89,7024
2026,female,85-89,21317
2026,male,90-94,2193
2026,female,90-94,8803
2026,male,95-99,417
2026,female,95-99,2288
2026,male,100+,23
2026,female,100+,232
