food_group_et,sex,age_group,grams_per_day
Tärkliserikkad toidud: teraviljatooted ja kartul,total,total,282
Tärkliserikkad toidud: teraviljatooted ja kartul,total,2-5,254
Tärkliserikkad toidud: teraviljatooted ja kartul,total,6-9,272
Tärkliserikkad toidud: teraviljatooted ja kartul,total,10-13,264
Tärkliserikkad toidud: teraviljatooted ja kartul,total,14-17,302
Tärkliserikkad toidud: teraviljatooted ja kartul,total,18-24,270
Tärkliserikkad toidud: teraviljatooted ja kartul,total,25-29,265
Tärkliserikkad toidud: teraviljatooted ja kartul,total,30-34,274
Tärkliserikkad toidud: teraviljatooted ja kartul,total,35-39,305
Tärkliserikkad toidud: teraviljatooted ja kartul,total,40-44,269
Tärkliserikkad toidud: teraviljatooted ja kartul,total,45-49,290
Tärkliserikkad toidud: teraviljatooted ja kartul,total,50-54,271
Tärkliserikkad toidud: teraviljatooted ja kartul,total,55-59,299
Tärkliserikkad toidud: teraviljatooted ja kartul,total,60-64,308
Tärkliserikkad toidud: teraviljatooted ja kartul,total,65-69,302
Tärkliserikkad toidud: teraviljatooted ja kartul,total,70-74,297
Tärkliserikkad toidud: teraviljatooted ja kartul,male,total,322
Tärkliserikkad toidud: teraviljatooted ja kartul,male,2-5,271
Tärkliserikkad toidud: teraviljatooted ja kartul,male,6-9,293
Tärkliserikkad toidud: teraviljatooted ja kartul,male,10-13,299
Tärkliserikkad toidud: teraviljatooted ja kartul,male,14-17,381
Tärkliserikkad toidud: teraviljatooted ja kartul,male,18-24,322
Tärkliserikkad toidud: teraviljatooted ja kartul,male,25-29,291
Tärkliserikkad toidud: teraviljatooted ja kartul,male,30-34,276
Tärkliserikkad toidud: teraviljatooted ja kartul,male,35-39,355
Tärkliserikkad toidud: teraviljatooted ja kartul,male,40-44,293
Tärkliserikkad toidud: teraviljatooted ja kartul,male,45-49,361
Tärkliserikkad toidud: teraviljatooted ja kartul,male,50-54,320
Tärkliserikkad toidud: teraviljatooted ja kartul,male,55-59,328
Tärkliserikkad toidud: teraviljatooted ja kartul,male,60-64,369
Tärkliserikkad toidud: teraviljatooted ja kartul,male,65-69,334
Tärkliserikkad toidud: teraviljatooted ja kartul,male,70-74,363
Tärkliserikkad toidud: teraviljatooted ja kartul,female,total,246
Tärkliserikkad toidud: teraviljatooted ja kartul,female,2-5,236
Tärkliserikkad toidud: teraviljatooted ja kartul,female,6-9,250
Tärkliserikkad toidud: teraviljatooted ja kartul,female,10-13,226
Tärkliserikkad toidud: teraviljatooted ja kartul,female,14-17,218
Tärkliserikkad toidud: teraviljatooted ja kartul,female,18-24,215
Tärkliserikkad toidud: teraviljatooted ja kartul,female,25-29,237
Tärkliserikkad toidud: teraviljatooted ja kartul,female,30-34,273
Tärkliserikkad toidud: teraviljatooted ja kartul,female,35-39,254
Tärkliserikkad toidud: teraviljatooted ja kartul,female,40-44,245
Tärkliserikkad toidud: teraviljatooted ja kartul,female,45-49,221
Tärkliserikkad toidud: teraviljatooted ja kartul,female,50-54,227
Tärkliserikkad toidud: teraviljatooted ja kartul,female,55-59,274
Tärkliserikkad toidud: teraviljatooted ja kartul,female,60-64,262
Tärkliserikkad toidud: teraviljatooted ja kartul,female,65-69,281
Tärkliserikkad toidud: teraviljatooted ja kartul,female,70-74,260
"..leib, sepik, sai",total,total,71
"..leib, sepik, sai",total,2-5,39
"..leib, sepik, sai",total,6-9,47
"..leib, sepik, sai",total,10-13,56
"..leib, sepik, sai",total,14-17,63
"..leib, sepik, sai",total,18-24,63
"..leib, sepik, sai",total,25-29,63
"..leib, sepik, sai",total,30-34,59
"..leib, sepik, sai",total,35-39,79
"..leib, sepik, sai",total,40-44,75
"..leib, sepik, sai",total,45-49,82
"..leib, sepik, sai",total,50-54,75
"..leib, sepik, sai",total,55-59,84
"..leib, sepik, sai",total,60-64,87
"..leib, sepik, sai",total,65-69,91
"..leib, sepik, sai",total,70-74,86
"..leib, sepik, sai",male,total,85
"..leib, sepik, sai",male,2-5,43
"..leib, sepik, sai",male,6-9,49
"..leib, sepik, sai",male,10-13,62
"..leib, sepik, sai",male,14-17,77
"..leib, sepik, sai",male,18-24,77
"..leib, sepik, sai",male,25-29,72
"..leib, sepik, sai",male,30-34,61
"..leib, sepik, sai",male,35-39,94
"..leib, sepik, sai",male,40-44,89
"..leib, sepik, sai",male,45-49,105
"..leib, sepik, sai",male,50-54,97
"..leib, sepik, sai",male,55-59,106
"..leib, sepik, sai",male,60-64,116
"..leib, sepik, sai",male,65-69,111
"..leib, sepik, sai",male,70-74,111
"..leib, sepik, sai",female,total,58
"..leib, sepik, sai",female,2-5,36
"..leib, sepik, sai",female,6-9,45
"..leib, sepik, sai",female,10-13,51
"..leib, sepik, sai",female,14-17,48
"..leib, sepik, sai",female,18-24,48
"..leib, sepik, sai",female,25-29,53
"..leib, sepik, sai",female,30-34,56
"..leib, sepik, sai",female,35-39,64
"..leib, sepik, sai",female,40-44,62
"..leib, sepik, sai",female,45-49,60
"..leib, sepik, sai",female,50-54,55
"..leib, sepik, sai",female,55-59,67
"..leib, sepik, sai",female,60-64,66
"..leib, sepik, sai",female,65-69,78
"..leib, sepik, sai",female,70-74,71
"..pudrud, riis, makaronid",total,total,127
"..pudrud, riis, makaronid",total,2-5,156
"..pudrud, riis, makaronid",total,6-9,152
"..pudrud, riis, makaronid",total,10-13,130
"..pudrud, riis, makaronid",total,14-17,123
"..pudrud, riis, makaronid",total,18-24,134
"..pudrud, riis, makaronid",total,25-29,124
"..pudrud, riis, makaronid",total,30-34,133
"..pudrud, riis, makaronid",total,35-39,152
"..pudrud, riis, makaronid",total,40-44,109
"..pudrud, riis, makaronid",total,45-49,109
"..pudrud, riis, makaronid",total,50-54,110
"..pudrud, riis, makaronid",total,55-59,119
"..pudrud, riis, makaronid",total,60-64,118
"..pudrud, riis, makaronid",total,65-69,122
"..pudrud, riis, makaronid",total,70-74,123
"..pudrud, riis, makaronid",male,total,133
"..pudrud, riis, makaronid",male,2-5,163
"..pudrud, riis, makaronid",male,6-9,169
"..pudrud, riis, makaronid",male,10-13,150
"..pudrud, riis, makaronid",male,14-17,162
"..pudrud, riis, makaronid",male,18-24,140
"..pudrud, riis, makaronid",male,25-29,113
"..pudrud, riis, makaronid",male,30-34,115
"..pudrud, riis, makaronid",male,35-39,173
"..pudrud, riis, makaronid",male,40-44,109
"..pudrud, riis, makaronid",male,45-49,130
"..pudrud, riis, makaronid",male,50-54,107
"..pudrud, riis, makaronid",male,55-59,115
"..pudrud, riis, makaronid",male,60-64,118
"..pudrud, riis, makaronid",male,65-69,115
"..pudrud, riis, makaronid",male,70-74,151
"..pudrud, riis, makaronid",female,total,121
"..pudrud, riis, makaronid",female,2-5,150
"..pudrud, riis, makaronid",female,6-9,133
"..pudrud, riis, makaronid",female,10-13,108
"..pudrud, riis, makaronid",female,14-17,82
"..pudrud, riis, makaronid",female,18-24,127
"..pudrud, riis, makaronid",female,25-29,137
"..pudrud, riis, makaronid",female,30-34,151
"..pudrud, riis, makaronid",female,35-39,130
"..pudrud, riis, makaronid",female,40-44,109
"..pudrud, riis, makaronid",female,45-49,89
"..pudrud, riis, makaronid",female,50-54,113
"..pudrud, riis, makaronid",female,55-59,123
"..pudrud, riis, makaronid",female,60-64,119
"..pudrud, riis, makaronid",female,65-69,127
"..pudrud, riis, makaronid",female,70-74,107
..kartul,total,total,97
..kartul,total,2-5,71
..kartul,total,6-9,92
..kartul,total,10-13,94
..kartul,total,14-17,114
..kartul,total,18-24,96
..kartul,total,25-29,90
..kartul,total,30-34,100
..kartul,total,35-39,92
..kartul,total,40-44,100
..kartul,total,45-49,106
..kartul,total,50-54,102
..kartul,total,55-59,98
..kartul,total,60-64,110
