pyramid_group,item_et,portion_g,portion_g_range_low,portion_g_range_high,kcal_per_portion,household_measure,notes
"Vegetables, fruits & berries",Köögiviljad (vegetables, general),100,,,30,,"Standard portion; puhaskaal (edible/net weight)"
"Vegetables, fruits & berries",Võrsed ehk pisirohe (sprouts/microgreens),220,,,30,1 dl hakitult = 40g,
"Vegetables, fruits & berries",Kaunviljad söödaval kujul (cooked legumes),100,,,130,1dl=70-80g,
"Vegetables, fruits & berries",Kaunviljad kuivatatult (dried legumes),40,,,130,kaunviljajahu 1dl=50-60g,
"Vegetables, fruits & berries",Hernekröbuskid vm (pea snacks),50,,,130,1dl=10g,"snack form, not raw legumes"
"Vegetables, fruits & berries",Puuviljad (fruit, general - apples/pears etc),100,,,50,1/2 klaasi=100g,
"Vegetables, fruits & berries",Viinamarjad/paradiisiõunad (grapes),70,,,50,,
"Vegetables, fruits & berries",Banaan/passioon/granadill,50,,,50,,
"Vegetables, fruits & berries",Värsked datlid (fresh dates),40,,,50,,
"Vegetables, fruits & berries",Tamarind,20,,,50,,
"Vegetables, fruits & berries",Puuviljamahlad/-hoidised (juice/preserves),100,,,50,1/2 klaas=100g,"footnote: add 0.5 sweets-portion if sugar added"
"Vegetables, fruits & berries",Kuivatatud puuvili (dried fruit),17.5,15,20,50,1spl=10g,
"Vegetables, fruits & berries",Marjad (berries, general),100,,,50,100g=2dl,
"Vegetables, fruits & berries",Musta leedri ja kibuvitsamarjad,70,,,50,,"elderberry/rosehip - lower portion due to concentration"
"Vegetables, fruits & berries",Marjamahl/-hoidised,100,,,50,1/2 klaas=100g,
"Vegetables, fruits & berries",Kuivatatud marjad,17.5,15,20,50,1spl=10-15g,
Grain products & potatoes,"Leiva-/saiatooted (bread, high-fibre)",27.5,25,30,75,1viil=20-40g,
Grain products & potatoes,Näkileivad või galetid,20,,,75,väike näkileib=6g; suurem=12g; galett=8g,
Grain products & potatoes,"Helbed/kruubid/tangud, pudruna (cooked porridge)",100,,,75,1dl=100g,"oat/multigrain/barley/rye flakes etc, water-cooked"
Grain products & potatoes,"Helbed/kruubid/tangud, kuivalt (dry flakes)",22.5,20,25,75,1/2dl=20-25g,
Grain products & potatoes,Keedetud kinoa või amarant,70,,,75,2-3kuhjaga spl=70g,
Grain products & potatoes,Keedetud kuskuss,60,,,75,3-4kuhjaga spl=60g,
Grain products & potatoes,Keedetud pasta või riis,50,,,75,2-3spl=50g,
Grain products & potatoes,Kartulid (cooked potato),100,,,75,1tk=u100g; 1kuhjaga spl puder=35g,
Grain products & potatoes,Bataadid/magusk. (sweet potato),60,,,75,1tk=u350g raw; 1kuhjaga spl=35g,
Dairy products,"Piim/vedelad piimatooted (milk, unsweetened)",300,220,340,110,1dl=100g,"R (fat) ~2.5%"
Dairy products,"Jogurt vms (yogurt), 2.5% fat",200,,,110,,
Dairy products,"Jogurt vms, alla 0.5% fat",170,,,110,,
"Nuts, seeds, oils & fats","Pähklid, kookoshelbed, >=99% pähklivõie (nuts)",15,,,90,1kuhjaga spl=15-20g; 1parapähkel=3-5g,
"Nuts, seeds, oils & fats","Seemned, magustamata kakaopulber (seeds/cocoa)",10,,,50,1spl seemneid=10-15g,
"Nuts, seeds, oils & fats",Kakaopulber,15,,,50,1spl=6g,
"Nuts, seeds, oils & fats",Avokaado,25,,,50,1/4 väikesest avokaadost=25g,
"Nuts, seeds, oils & fats",Oliivid soolvees,37.5,35,40,50,1oliiv=3g,
"Nuts, seeds, oils & fats",Oliiviõli (nõrutatult),30,,,50,,
"Nuts, seeds, oils & fats","Õli/või/rasvavõie, >50% rasva (oil/butter, high-fat)",5,,,50,1tl=5g,
"Nuts, seeds, oils & fats","Rasvavõie/taimne või, kuni 50% rasva (low-fat spread)",12.5,10,15,50,1spl=15g,
"Nuts, seeds, oils & fats",Pesto,12.5,10,15,50,,
"Nuts, seeds, oils & fats",Hummus,25,,,50,,
"Nuts, seeds, oils & fats","Kookos-/palmi-/searasv, seapekk",5,,,50,,
"Nuts, seeds, oils & fats",Majoneesid/salatikastmed,,,,50,,"gram weight not given, energy-defined only"
"Fish, eggs & meat","Lahjat kala (lean fish: haug, koha, luts, merlang, ahven, saida)",77.5,75,80,80,1tikutoosi tükk=25-30g,
"Fish, eggs & meat","Keskmise rasvasisaldusega kala (medium-fat fish: pangaasius, lest, angersäga, meriforell, tuur)",67.5,65,70,80,,
"Fish, eggs & meat","Rasvast kala (fatty fish: karpkala, räim, vikerforell, latikas, säga)",42.5,40,45,80,,
"Fish, eggs & meat","Väga rasvast kala (very fatty: lõhe, heeringas, skumbria)",27.5,25,30,80,,
"Fish, eggs & meat","Muud mereannid (other seafood: krevetid, krabid, karbid, teod)",65,60,70,80,krevetid 60-70g; rannakarbid 70-80g,
"Fish, eggs & meat",Surimitooted (nt makra),70,,,80,1makrapulk=15g,
"Fish, eggs & meat",Kalakonserv vees/tomatikastmes,57.5,55,60,80,1tl=5g; 1spl=15g,
"Fish, eggs & meat",Suitsu- ja soolakala,45,,,80,1tikutoosi tükk=25-30g,
"Fish, eggs & meat",Kalapulgad,40,,,80,1kalapulk=25g; kalaburger=15-30g,
"Fish, eggs & meat",Vürtsikilu/kalakonserv õlis/soolaheeringas,35,30,40,80,kilu 6fileed=30-40g; 1filee heeringat=90g,
"Fish, eggs & meat",Kanamuna/munamass (chicken egg),60,,,80,1muna=60g munamassi,
"Fish, eggs & meat",Vutimuna (quail egg),,,,80,5 vutimuna=1portion,
"Fish, eggs & meat",Nahata kanafilee (skinless chicken fillet),55,,,80,1tikutoosi tükk=25-30g,
"Fish, eggs & meat","Nahata kalkuni-/pardi-/faasaniliha",50,,,80,,
"Fish, eggs & meat","Nahaga kana-/kalkuni-/vuti-/faasaniliha",35,,,80,,
"Fish, eggs & meat",Nahata hane-/lumekanaliha,40,,,80,,
"Fish, eggs & meat",Nahaga hane-/pardiliha,17.5,15,20,80,,
"Fish, eggs & meat",Broilerimaks (chicken liver),50,,,80,,
"Fish, eggs & meat",Ulukiliha (game meat),55,,,80,1tikutoosi tükk=25-30g,
"Fish, eggs & meat","Kuumtöödeldud maks/neerud (cooked liver/kidney)",47.5,45,50,80,,
"Fish, eggs & meat","Sea-/veise-/lamba-/vasikaliha (pork/beef/lamb/veal)",37.5,35,40,80,,
"Fish, eggs & meat","Hakkliha, R alla 10% (mince, low fat)",37.5,35,40,80,,
"Fish, eggs & meat",Sea-/veiseliha keelt,27.5,25,30,80,,
"Fish, eggs & meat","Hakkliha, R üle 15% (mince, high fat)",20,,,80,,
"Fish, eggs & meat","Salaami, chorizo, R alla 30%",22.5,20,25,80,,
"Fish, eggs & meat","Salaami, chorizo, R alates 30%",15,,,80,,
"Fish, eggs & meat","Peekon, suitsukülg, R alla 50%",20,,,80,,
"Fish, eggs & meat","Peekon, suitsukülg, R alates 50%",10,,,80,,
"Sweets, snacks & discretionary",Suhkur (sugar),10,,,40,1triiktl=4g; 1triikspl=12g,
"Sweets, snacks & discretionary",Mesi (honey),10,,,40,1triiktl=10g; 1triikspl=20g,
"Sweets, snacks & discretionary",Siirup (syrup),15,,,40,1tl=6-7g; 1spl=20g,
"Sweets, snacks & discretionary",Moos (jam),20,,,40,1triiktl=8g; 1triikspl=20g,
"Sweets, snacks & discretionary",Šokolaad/kommid,8,,,40,1ruuduke=4-5g; 1komm=8-12g,
"Sweets, snacks & discretionary",Magusa kattega pähklid/kuivatatud puuvili,10,,,40,1spl=15-20g,
"Sweets, snacks & discretionary",Hematogeen,10,,,40,1hematogeen=40-65g,
"Sweets, snacks & discretionary",Magustatud müslibatoonid,10,,,40,1batoon=25-60g,
"Sweets, snacks & discretionary","Magustatud joogid, suhkrut alates 5g/100g",100,,,40,,
"Sweets, snacks & discretionary","Magustatud joogid, suhkrut alla 5g/100g",200,,,40,1dl=100ml=100g,
